                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3208,                0.72292,                 1.0617,                0.67936,                0.66941,                  0.599,                0.23752,                 2.2635,                0.97929,                 1.5637,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3438,                0.73621,                 1.0487,                0.67734,                0.66023,                0.58589,                0.21651,                 2.3272,                 1.0075,                 1.6013,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.3044,                0.72155,                 1.0415,                0.63781,                0.58857,                0.52508,                0.21361,                 2.3622,                 1.0354,                 1.6265,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2734,                0.69603,                 1.0409,                 0.5623,                0.63429,                0.49453,                0.20112,                 2.3328,                 1.0399,                 1.6191,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.3054,                0.70711,                 1.0339,                0.62584,                0.58857,                0.51569,                0.20973,                 2.2791,                0.97827,                 1.5752,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.3031,                0.69281,                 1.0448,                 0.6662,                0.64417,                0.58198,                0.23545,                 2.2645,                0.93642,                 1.5179,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2698,                 0.7062,                 1.0312,                0.69383,                 0.6495,                0.61409,                0.23958,                  2.285,                0.93688,                 1.5119,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3113,                0.70857,                 1.0343,                0.69303,                0.69426,                0.64245,                0.26132,                 2.2288,                0.92598,                 1.4678,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3037,                0.69896,                 1.0429,                0.71963,                0.72987,                0.66128,                0.27025,                 2.2148,                 0.9274,                 1.4672,             0.00051177,             0.00051177,             0.00051177
                     72,                  1.251,                0.67724,                 1.0247,                 0.6784,                  0.667,                0.60863,                0.26464,                 2.2146,                0.94281,                 1.5084,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2396,                0.68198,                  1.033,                 0.6747,                0.65439,                 0.6078,                 0.2831,                 2.1988,                0.92686,                  1.489,             0.00047876,             0.00047876,             0.00047876
